,strategy,decks,penetration,seventeen,BJ_payout,-1_count_bet,-1_count_spot,0_count_bet,0_count_spot,1_count_bet,1_count_spot,2_count_bet,2_count_spot,3_count_bet,3_count_spot,4_count_bet,4_count_spot,5_count_bet,5_count_spot,6_count_bet,6_count_spot,probability_of_winning,expected_value,prob_of_winning_on_pos_count,expected_value_on_pos_count,fifth_percentile_loss
69,cc,4,2.0,S17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.509886,-0.0686046,0.5097751764936714,-0.06753515990863422,-3838.800000000709
70,cc,4,2.0,H17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.506853,-0.07425300000000001,0.5077934530534578,-0.07154590592852471,-4100.000000005584
71,cc,4,2.0,H17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.506853,-0.07425300000000001,0.5077934530534578,-0.07154590592852471,-4100.000000005584
72,cc,6,0.5,S17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.509112,-0.0705778,0.5089884769586489,-0.06929470659302184,-4017.000000002948
73,cc,6,0.5,S17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.509112,-0.0705778,0.5089884769586489,-0.06929470659302184,-4017.000000002948
74,cc,6,0.5,H17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5066689999999999,-0.07505279999999999,0.5078205571651154,-0.07125925408798248,-4242.800000006494
75,cc,6,0.5,H17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5066689999999999,-0.07505279999999999,0.5078205571651154,-0.07125925408798248,-4242.800000006494
76,cc,6,1.0,S17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.509182,-0.07049760000000005,0.5108380953011207,-0.06597225209366657,-3993.209999998471
77,cc,6,1.0,S17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.509182,-0.07049760000000005,0.5108380953011207,-0.06597225209366657,-3993.209999998471
78,cc,6,1.0,H17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.505891,-0.07570000000000003,0.507166464654493,-0.07231770885078256,-4085.60000000654
79,cc,6,1.0,H17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.505891,-0.07570000000000003,0.507166464654493,-0.07231770885078256,-4085.60000000654
80,cc,6,1.5,S17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.50931,-0.07028200000000001,0.5103064066852367,-0.06704437553651826,-3891.800000006379
81,cc,6,1.5,S17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.50931,-0.07028200000000001,0.5103064066852367,-0.06704437553651826,-3891.800000006379
82,cc,6,1.5,H17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.506255,-0.07556399999999999,0.5082473828562599,-0.07014191047103319,-4065.6000000066274
83,cc,6,1.5,H17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.506255,-0.07556399999999999,0.5082473828562599,-0.07014191047103319,-4065.6000000066274
84,cc,6,2.0,S17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.50935,-0.06982439999999998,0.5110924482166613,-0.06684008294252737,-3877.600000000498
85,cc,6,2.0,S17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.50935,-0.06982439999999998,0.5110924482166613,-0.06684008294252737,-3877.600000000498
86,cc,6,2.0,H17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5058159999999999,-0.07631659999999997,0.5059897424503323,-0.07514821603806772,-4174.000000006621
87,cc,6,2.0,H17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5058159999999999,-0.07631659999999997,0.5059897424503323,-0.07514821603806772,-4174.000000006621
88,basic,2,0.5,S17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5229,-0.005732599999999997,0.5308438865232539,0.012061051816623355,-734.2100000004099
89,basic,2,0.5,S17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5229,-0.005732599999999997,0.5308438865232539,0.012061051816623355,-734.2100000004099
90,basic,2,0.5,H17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5206270000000001,-0.009518199999999996,0.527479172822086,0.005509917243550275,-876.8000000004238
91,basic,2,0.5,H17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5206270000000001,-0.009518199999999996,0.527479172822086,0.005509917243550275,-876.8000000004238
92,basic,2,1.0,S17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.523093,-0.006176400000000001,0.528386654224782,0.005561151657098364,-719.9999999998906
93,basic,2,1.0,S17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.523093,-0.006176400000000001,0.528386654224782,0.005561151657098364,-719.9999999998906
94,basic,2,1.0,H17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.52156,-0.008366200000000004,0.5268924889543446,0.004064801178203244,-880.4000000003298
95,basic,2,1.0,H17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.52156,-0.008366200000000004,0.5268924889543446,0.004064801178203244,-880.4000000003298
96,basic,2,1.5,S17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.522926,-0.005842599999999997,0.5280944196172797,0.0068999656239257506,-811.1999999998892
97,basic,2,1.5,S17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.522926,-0.005842599999999997,0.5280944196172797,0.0068999656239257506,-811.1999999998892
98,basic,2,1.5,H17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5219229999999999,-0.007995799999999999,0.5269022385737558,0.004035106986619814,-944.5999999998912
99,basic,2,1.5,H17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5219229999999999,-0.007995799999999999,0.5269022385737558,0.004035106986619814,-944.5999999998912
100,basic,4,0.5,S17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.523097,-0.0058756000000000025,0.5296903107474163,0.008430625609913823,-818.8100000003918
101,basic,4,0.5,S17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.523097,-0.0058756000000000025,0.5296903107474163,0.008430625609913823,-818.8100000003918
102,basic,4,0.5,H17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.521109,-0.0096158,0.5280747641578746,0.006152173274164639,-950.600000000412
103,basic,4,0.5,H17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.521109,-0.0096158,0.5280747641578746,0.006152173274164639,-950.600000000412
104,basic,4,1.0,S17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.523421,-0.0059824,0.5295816912895414,0.007875584443074781,-719.4099999999507
